"Reference","Qty","Value","LCSC ID","Footprint"
"C8","1","100pF","C3793359","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal"
"C6","1","250pF","C49450688","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal"
"C11","1","10nF","C390071","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal"
"C12","1","22nF","C390073","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal"
"C3,C5,C14","3","47nF","C46638908","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal"
"C7","1","68nF","C2928859","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal"
"C13","1","100nF","C506826","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal"
"C4,C9,C10","3","470nF","C3019096","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal"
"C15","1","1uF","C46596148","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal"
"C2","1","47uF","C72523","Capacitor_SMD:CP_Elec_6.3x7.7"
"C1","1","100uF","C72478","Capacitor_SMD:CP_Elec_6.3x7.7"
"RV2","1","20KB","C131339","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical"
"R10","1","22R","C17958","Resistor_SMD:R_1206_3216Metric"
"RV1,RV3","2","100KB","C131339","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical"
"R3,R23","2","1K","C4410","Resistor_SMD:R_1206_3216Metric"
"R15,R16,R17","3","2.2K","C17948","Resistor_SMD:R_1206_3216Metric"
"R14","1","4.7K","C17936","Resistor_SMD:R_1206_3216Metric"
"R18","1","6.8K","C26046","Resistor_SMD:R_1206_3216Metric"
"R1,R2,R5,R6,R9,R19,R22","7","10K","C17902","Resistor_SMD:R_1206_3216Metric"
"R12","1","47K","C25833","Resistor_SMD:R_1206_3216Metric"
"R7,R11,R13,R24","4","100K","C17900","Resistor_SMD:R_1206_3216Metric"
"R4,R8","2","470K","C17997","Resistor_SMD:R_1206_3216Metric"
"R20,R21","2","1M","C17927","Resistor_SMD:R_1206_3216Metric"
"D1","1","1N4004","C511070","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal"
"D2,D3,D4","3","1N4148","C84410","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal"
"Q1,Q2,Q3","3","2SC2240","C328606","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical"
"J1,J2,J3","3","Conn_01x02_Socket","C158012","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical"
"H1,H2,H3,H4","4","MountingHole_Pad","-","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad"
"U1","1","NJM4558","C72129","Package_DIP:DIP-8_W7.62mm_Socket"
